week_start,week_end,client_family,mcp_remote_share_pct,usage_index_0_100
2025-12-29,2026-01-04,Claude Code,1.1904,1.1891
2025-12-29,2026-01-04,Codex,76.8102,0.138
2025-12-29,2026-01-04,OpenCode,9.0767,16.8025
2026-01-05,2026-01-11,Claude Code,2.3879,0.7356
2026-01-05,2026-01-11,Codex,82.0356,0.2202
2026-01-05,2026-01-11,OpenCode,9.3979,17.9069
2026-01-12,2026-01-18,Claude Code,2.9899,0.8433
2026-01-12,2026-01-18,Codex,57.6029,0.3312
2026-01-12,2026-01-18,OpenCode,7.0028,28.162
2026-01-19,2026-01-25,Claude Code,9.2554,2.197
2026-01-19,2026-01-25,Codex,46.4343,0.5074
2026-01-19,2026-01-25,OpenCode,8.0865,32.8425
2026-01-26,2026-02-01,Claude Code,0.432,5.8544
2026-01-26,2026-02-01,Codex,86.9164,1.391
2026-01-26,2026-02-01,OpenCode,1.4559,34.315
2026-02-02,2026-02-08,Claude Code,0.553,8.5161
2026-02-02,2026-02-08,Codex,56.1187,1.7156
2026-02-02,2026-02-08,OpenCode,1.0753,31.7907
2026-02-09,2026-02-15,Claude Code,0.0956,21.7472
2026-02-09,2026-02-15,Codex,43.2016,2.8666
2026-02-09,2026-02-15,OpenCode,5.6487,42.3613
2026-02-16,2026-02-22,Claude Code,0.1018,30.1338
2026-02-16,2026-02-22,Codex,59.5964,2.716
2026-02-16,2026-02-22,OpenCode,6.7643,37.7071
2026-02-23,2026-03-01,Claude Code,0.07,36.4134
2026-02-23,2026-03-01,Codex,43.0898,4.6929
2026-02-23,2026-03-01,OpenCode,5.3143,51.4594
2026-03-02,2026-03-08,Claude Code,0.0646,42.0627
2026-03-02,2026-03-08,Codex,23.4336,8.1471
2026-03-02,2026-03-08,OpenCode,0.5224,60.3997
2026-03-09,2026-03-15,Claude Code,0.0978,29.3772
2026-03-09,2026-03-15,Codex,22.6028,9.9475
2026-03-09,2026-03-15,OpenCode,2.2124,53.4841
2026-03-16,2026-03-22,Claude Code,0.3617,39.4185
2026-03-16,2026-03-22,Codex,27.592,6.1814
2026-03-16,2026-03-22,OpenCode,1.6987,58.822
2026-03-23,2026-03-29,Claude Code,0.6223,65.3032
2026-03-23,2026-03-29,Codex,7.1368,24.2387
2026-03-23,2026-03-29,OpenCode,4.5765,65.5009
2026-03-30,2026-04-05,Claude Code,0.0413,73.7906
2026-03-30,2026-04-05,Codex,1.5232,83.3849
2026-03-30,2026-04-05,OpenCode,1.6376,75.4667
2026-04-06,2026-04-12,Claude Code,0.0272,86.2173
2026-04-06,2026-04-12,Codex,1.056,100.0
2026-04-06,2026-04-12,OpenCode,3.9839,85.1433
2026-04-13,2026-04-19,Claude Code,0.0198,89.8738
2026-04-13,2026-04-19,Codex,2.0653,33.2073
2026-04-13,2026-04-19,OpenCode,3.6558,69.0507
2026-04-20,2026-04-26,Claude Code,0.037,87.7118
2026-04-20,2026-04-26,Codex,18.3692,5.7636
2026-04-20,2026-04-26,OpenCode,2.427,74.7568
2026-04-27,2026-05-03,Claude Code,0.0363,91.0938
2026-04-27,2026-05-03,Codex,18.6552,6.2586
2026-04-27,2026-05-03,OpenCode,2.0087,96.8709
2026-05-04,2026-05-10,Claude Code,0.0432,100.0
2026-05-04,2026-05-10,Codex,16.4166,8.4681
2026-05-04,2026-05-10,OpenCode,2.8897,90.0868
2026-05-11,2026-05-17,Claude Code,0.0433,92.1529
2026-05-11,2026-05-17,Codex,16.5699,9.0229
2026-05-11,2026-05-17,OpenCode,4.4025,96.1609
2026-05-18,2026-05-24,Claude Code,0.0712,78.9487
2026-05-18,2026-05-24,Codex,12.2307,9.7635
2026-05-18,2026-05-24,OpenCode,0.9466,100.0
2026-05-25,2026-05-31,Claude Code,0.0698,73.4939
2026-05-25,2026-05-31,Codex,10.8764,9.6449
2026-05-25,2026-05-31,OpenCode,2.015,76.9918
